Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Lessoc;1669;2;Haut-Intyamon;FR;2571128;1150553
Leuggelbach;8774;0;Glarus Süd;GL;2721919;1204095
Leuggern;5316;0;Leuggern;AG;2658736;1270460
Leuk Stadt;3953;0;Leuk;VS;2615507;1129655
Leukerbad;3954;0;Leukerbad;VS;2615100;1136425
Leutwil;5725;0;Leutwil;AG;2655748;1240174
Leuzigen;3297;0;Leuzigen;BE;2601193;1224687
Levron;1942;0;Vollèges;VS;2578608;1105201
Leysin;1854;0;Leysin;VD;2567194;1132339
Leytron;1912;0;Leytron;VS;2582706;1115180
Li Curt;7745;0;Poschiavo;GR;2802101;1132190
Libingen;9614;0;Mosnang;SG;2719793;1243127
Lichtensteig;9620;0;Lichtensteig;SG;2724829;1242949
Liddes;1945;0;Liddes;VS;2580325;1093310
Liebefeld;3097;0;Köniz;BE;2598579;1197757
Liebistorf;3213;0;Gurmels;FR;2581448;1195211
Liedertswil;4436;2;Liedertswil;BL;2621294;1248892
Lieffrens;1688;2;Vuisternens-devant-Romont;FR;2558929;1165193
Lieli LU;6277;2;Hohenrain;LU;2665162;1229109
Lienz;9464;2;Altstätten;SG;2757169;1238476
Liesberg;4253;0;Liesberg;BL;2599630;1249415
Liesberg Dorf;4254;0;Liesberg;BL;2599093;1250503
Liestal;4410;0;Liestal;BL;2621286;1259441
Liez (St-Martin);1969;2;Saint-Martin (VS);VS;2600950;1112222
Ligerz;2514;0;Ligerz;BE;2576973;1215027
Lignerolle;1357;0;Lignerolle;VD;2524933;1177016
Lignières;2523;0;Lignières;NE;2571656;1214486
Ligornetto;6853;0;Mendrisio;TI;2717639;1080151
Limpach;3317;0;Fraubrunnen;BE;2604496;1217411
Lindau;8315;0;Lindau;ZH;2693409;1255326
Linden;3673;0;Linden;BE;2618276;1188741
Linescio;6682;0;Linescio;TI;2688163;1129171
Linthal;8783;0;Glarus Süd;GL;2718633;1197390
Lipperswil;8564;5;Wäldi;TG;2721464;1275331
Lippoldswilen;8566;5;Kemmental;TG;2725863;1274582
Littenheid;9573;0;Sirnach;TG;2718251;1255399
Litzirüti;7058;0;Arosa;GR;2772711;1185657
Lobsigen;3268;0;Seedorf (BE);BE;2588786;1208598
Loc;3960;3;Randogne;VS;2605735;1126886
Locarno;6600;0;Locarno;TI;2704611;1113897
Locarno;6600;0;Locarno;TI;2702471;1115756
Locarno;6605;0;Locarno;TI;2703828;1115229
Loco;6661;0;Isorno;TI;2695182;1117524
Lodano;6678;2;Maggia;TI;2695893;1123685
Lodrino;6527;0;Lodrino;TI;2718663;1128976
Lohn GR;7433;3;Lohn (GR);GR;2752293;1168786
Lohn SH;8235;0;Lohn (SH);SH;2692089;1290191
Lohn-Ammannsegg;4573;0;Lohn-Ammannsegg;SO;2606730;1224704
Lohnstorf;3127;2;Lohnstorf;BE;2605905;1183962
Lommis;9506;0;Lommis;TG;2717607;1264068
Lommiswil;4514;0;Lommiswil;SO;2601894;1230168
Lonay;1027;0;Lonay;VD;2529583;1153210
Longirod;1261;35;Longirod;VD;2509395;1149959
Lopagno;6956;0;Capriasca;TI;2720144;1108635
Lopagno;6956;0;Capriasca;TI;2719070;1103138
Lopagno;6956;0;Capriasca;TI;2719960;1104476
Losone;6616;0;Losone;TI;2701951;1113854
Lossy;1782;3;La Sonnaz;FR;2575014;1186935
Lostallo;6558;0;Lostallo;GR;2734943;1130664
Lostorf;4654;0;Lostorf;SO;2638744;1248152
Lottigna;6716;3;Acquarossa;TI;2715560;1147590
Lotzwil;4932;0;Lotzwil;BE;2627120;1227121
Lourtier;1948;0;Bagnes;VS;2586773;1099784
Lovatens;1682;2;Lovatens;VD;2556129;1171510
Lovens;1756;2;La Brillaz;FR;2568031;1180274
Loveresse;2732;4;Loveresse;BE;2584872;1232570
Luc (Ayent);1966;3;Ayent;VS;2598535;1125648
Lucelle;2807;1;Pleigne;JU;2585187;1251899
Lucens;1522;0;Lucens;VD;2554070;1173411
Luchsingen;8775;1;Glarus Süd;GL;2721537;1202970
Ludiano;6721;0;Serravalle;TI;2717668;1142107
Lufingen;8426;0;Lufingen;ZH;2687042;1260600
Lugaggia;6953;0;Capriasca;TI;2718453;1102090
Lugaggia;6953;0;Capriasca;TI;2721661;1107538
Lugano;6900;0;Lugano;TI;2717259;1096203
Lugnez;2933;3;Lugnez;JU;2574295;1259225
Lugnorre;1789;0;Haut-Vully;FR;2571953;1199981
Luins;1184;0;Luins;VD;2510413;1144566
Lully FR;1470;2;Lully (FR);FR;2554944;1187263
Lully VD;1132;0;Lully (VD);VD;2525287;1150974
Lumbrein;7148;0;Lumnezia;GR;2729965;1171827
Lumino;6533;0;Lumino;TI;2725548;1121173
Lungern;6078;0;Lungern;OW;2655563;1181669
Lupfig;5242;2;Lupfig;AG;2657596;1255006
Lupsingen;4419;0;Lupsingen;BL;2619393;1254869
Lurtigen;3215;3;Lurtigen;FR;2579672;1197576
Lussery-Villars;1307;0;Lussery-Villars;VD;2530114;1165035
Lussy FR;1690;2;La Folliaz;FR;2562191;1173878
Lussy-sur-Morges;1167;0;Lussy-sur-Morges;VD;2524162;1150741
Lustdorf;8512;2;Thundorf;TG;2716783;1267861
Lustmühle;9062;0;Teufen (AR);AR;2744845;1251606
Luterbach;4542;0;Luterbach;SO;2611534;1229235
Luthern;6156;0;Luthern;LU;2636409;1212184
Luthern Bad;6156;2;Luthern;LU;2637134;1208682
Lutry;1095;0;Lutry;VD;2542256;1150429
Lutzenberg;9426;0;Lutzenberg;AR;2761226;1258626
Luven;7141;0;Ilanz/Glion;GR;2734263;1180350
Luzein;7242;0;Luzein;GR;2777009;1199167
Luzern;6005;0;Luzern;LU;2666619;1210188
Luzern;6006;0;Luzern;LU;2668001;1211638
Luzern;6004;0;Luzern;LU;2665287;1212502
Luzern;6014;0;Luzern;LU;2666143;1211864
Luzern;6015;0;Luzern;LU;2663689;1212884
Luzern;6003;0;Luzern;LU;2665223;1211360
Lyss;3250;0;Lyss;BE;2590520;1214136
Lyssach;3421;0;Lyssach;BE;2610450;1212706
Lyssach;3421;0;Oberburg;BE;2611752;1210857
Längenbühl;3636;0;Forst-Längenbühl;BE;2607606;1178426
Lätti;3053;5;Rapperswil (BE);BE;2599510;1209642
Läufelfingen;4448;0;Läufelfingen;BL;2631047;1249537
Léchelles;1773;0;Léchelles;FR;2567751;1186519
Löhningen;8224;0;Löhningen;SH;2683229;1283787
Lömmenschwil;9308;0;Häggenschwil;SG;2744612;1262585
Lü;7534;0;Val Müstair;GR;2824402;1167657
Lüchingen;9450;2;Altstätten;SG;2759557;1250663
Lüen;7027;1;Arosa;GR;2765958;1189189
Lüscherz;2576;0;Lüscherz;BE;2578184;1210664
Lüsslingen;4574;1;Lüsslingen-Nennigkofen;SO;2605206;1226511
Lüterkofen;4571;1;Lüterkofen-Ichertswil;SO;2605381;1223817
Lüterswil;4584;2;Lüterswil-Gächliwil;SO;2599854;1218743
Lütisburg;9604;0;Lütisburg;SG;2724336;1250747
Lütisburg Station;9601;0;Lütisburg;SG;2723100;1249507
Lütschental;3816;0;Lütschental;BE;2639027;1165525
Lützelflüh-Goldbach;3432;0;Lützelflüh;BE;2618694;1205625
Macolin;2532;0;Evilard;BE;2583165;1221255
Madetswil;8322;0;Russikon;ZH;2702459;1251919
Madiswil;4934;0;Madiswil;BE;2626906;1223674
Madonna del Piano;6995;2;Croglio;TI;2708057;1094033
Madrano;6780;2;Airolo;TI;2691375;1153564
Madulain;7523;0;Madulain;GR;2796468;1152753
Madulain;7523;0;Madulain;GR;2791362;1162629
Magadino;6573;0;Gambarogno;TI;2709610;1111673
Magden;4312;0;Magden;AG;2628831;1263965
Maggia;6673;0;Maggia;TI;2697917;1122495
Magliaso;6983;0;Magliaso;TI;2712179;1093335
Maglio di Colla;6959;0;Lugano;TI;2724529;1105401
Magnedens;1727;2;Corpataux-Magnedens;FR;2572689;1176827
Maienfeld;7304;0;Maienfeld;GR;2759132;1208448
Mairengo;6763;1;Faido;TI;2703585;1149365
Maisprach;4464;0;Maisprach;BL;2631097;1263825
Maladers;7026;0;Maladers;GR;2761863;1189581
Malans GR;7208;0;Malans;GR;2762468;1205628
Malans SG;9479;1;Wartau;SG;2754647;1217502
Malix;7074;0;Churwalden;GR;2759672;1186872
Malleray;2735;4;Malleray;BE;2586776;1231793
Maloja;7516;0;Bregaglia;GR;2773642;1141703
Malters;6102;0;Malters;LU;2657025;1209875
Malvaglia;6713;0;Serravalle;TI;2718838;1141439
Mamishaus;3152;0;Schwarzenburg;BE;2595176;1184249
Mammern;8265;0;Mammern;TG;2711075;1278287
Mandach;5318;0;Mandach;AG;2656491;1266614
Mannenbach-Salenstein;8268;0;Salenstein;TG;2721220;1281582
Mannens;1775;2;Montagny (FR);FR;2564230;1182485
Manno;6928;0;Manno;TI;2714561;1099209
Maracon;1613;0;Maracon;VD;2556466;1155533
Marbach LU;6196;0;Escholzmatt-Marbach;LU;2635241;1189189
Marbach SG;9437;0;Marbach (SG);SG;2760714;1251169
Marchissy;1261;32;Marchissy;VD;2508529;1149129
Mariastein;4115;0;Metzerlen-Mariastein;SO;2604014;1258393
Marin-Epagnier;2074;0;La Tène;NE;2566734;1206561
Marly;1723;0;Marly;FR;2578636;1180453
Marmorera;7456;2;Marmorera;GR;2769385;1151956
Marnand;1524;0;Valbroye;VD;2558932;1178466
Maroggia;6817;0;Maroggia;TI;2718957;1088456
Marolta;6723;3;Acquarossa;TI;2713519;1149517
Marolta;6723;3;Acquarossa;TI;2713818;1148588
Marolta;6723;3;Acquarossa;TI;2710590;1148793
Marsens;1633;0;Marsens;FR;2571385;1167220
Marthalen;8460;0;Marthalen;ZH;2690798;1276045
Martherenges;1063;2;Montanaire;VD;2547541;1167991
Martigny;1920;0;Martigny;VS;2571782;1105522
Martigny-Croix;1921;0;Martigny-Combe;VS;2570244;1103967
Martina;7560;0;Valsot;GR;2830306;1197021
Martisberg;3994;2;Bettmeralp;VS;2650762;1137511
Maschwanden;8933;0;Maschwanden;ZH;2674926;1231695
Mase;1968;0;Mont-Noble;VS;2599834;1115972
Masein;7425;0;Masein;GR;2752035;1174119
Maseltrangen;8723;2;Schänis;SG;2722071;1228018
Massagno;6900;5;Massagno;TI;2716528;1096801
Massongex;1869;0;Massongex;VS;2565364;1121344
Massonnens;1692;0;Massonnens;FR;2564419;1172264
Mastrils;7303;0;Landquart;GR;2760201;1204023
Mathod;1438;0;Mathod;VD;2533442;1179882
Mathon;7433;4;Mathon;GR;2751076;1166900
Matran;1753;0;Matran;FR;2573859;1181754
Matt;8766;0;Glarus Süd;GL;2731633;1202451
Matten (St. Stephan);3773;0;St. Stephan;BE;2598689;1149159
Matten b. Interlaken;3800;3;Matten bei Interlaken;BE;2633254;1169887
Mattstetten;3322;1;Mattstetten;BE;2605710;1208768
Mattwil;8585;1;Birwinken;TG;2733262;1271402
Matzendorf;4713;0;Matzendorf;SO;2614153;1239363
Matzingen;9548;0;Matzingen;TG;2712172;1264439
Mauborget;1453;2;Mauborget;VD;2537327;1189732
Mauensee;6216;0;Mauensee;LU;2647644;1224276
Maules;1625;2;Sâles;FR;2565748;1165367
Maur;8124;0;Maur;ZH;2693135;1243506
Mauraz;1148;2;Mauraz;VD;2522150;1162059
Mauren FL;9493;0;;;2759541;1231914
Mauren TG;8576;0;Berg (TG);TG;2728910;1269832
Mayens-de-Chamoson;1911;2;Chamoson;VS;2580159;1117193
Mayens-de-la-Zour (Savièse);1965;6;Savièse;VS;2593698;1124272
Medeglia;6809;0;Comunanza Cadenazzo/Monteceneri;TI;2725167;1111201
Medeglia;6809;0;Monteceneri;TI;2718334;1108265
Medels im Rheinwald;7436;0;Splügen;GR;2742176;1156810
Meggen;6045;0;Meggen;LU;2670930;1211027
Mehlsecken;6260;4;Reiden;LU;2639264;1232748
Meien;6485;0;Wassen;UR;2684911;1175545
Meienberg;5643;3;Sins;AG;2671047;1227854
Meienried;3294;2;Meienried;BE;2592622;1220860
Meierskappel;6344;0;Meierskappel;LU;2676184;1219853
Meikirch;3045;0;Meikirch;BE;2594496;1206268
Meilen;8706;0;Meilen;ZH;2691415;1236708
Meinier;1252;0;Meinier;GE;2507113;1122395
Meinisberg;2554;0;Meinisberg;BE;2593203;1223423
Meiringen;3860;0;Meiringen;BE;2656345;1175344
Meisterschwanden;5616;0;Meisterschwanden;AG;2659615;1238154
Melano;6818;0;Melano;TI;2720174;1086876
Melchnau;4917;0;Melchnau;BE;2631702;1225894
Melchsee-Frutt;6068;0;Kerns;OW;2663061;1180671
Melchtal;6067;0;Kerns;OW;2665162;1187325
Melide;6815;0;Melide;TI;2716679;1090187
Mellikon;5465;0;Mellikon;AG;2668401;1268882
Mellingen;5507;0;Mellingen;AG;2663597;1252273
Mels;8887;0;Mels;SG;2750264;1212701
Meltingen;4233;0;Meltingen;SO;2611242;1248061
Mendrisio;6850;0;Mendrisio;TI;2719989;1080993
Menzberg;6125;0;Menznau;LU;2642704;1210025
Menzengrüt;8546;3;Wiesendangen;ZH;2703961;1267566
Menziken;5737;0;Menziken;AG;2657120;1232353
Menzingen;6313;0;Menzingen;ZG;2687795;1226008
Menznau;6122;0;Menznau;LU;2645615;1214954
Menzonio;6692;0;Lavizzara;TI;2692527;1135132
Merenschwand;5634;0;Merenschwand;AG;2671298;1234476
Mergoscia;6647;0;Mergoscia;TI;2708780;1118666
Meride;6866;0;Mendrisio;TI;2717523;1083214
Merishausen;8232;0;Merishausen;SH;2687605;1290598
Merligen;3658;0;Sigriswil;BE;2623253;1171948
Merlischachen;6402;0;Küssnacht (SZ);SZ;2673637;1213271
Mervelier;2827;0;Mervelier;JU;2604919;1243712
Merzligen;3274;3;Merzligen;BE;2586006;1215198
Mesocco;6563;0;Mesocco;GR;2738360;1139228
Messen;3254;0;Messen;SO;2600949;1215706
Mettau;5274;0;Mettauertal;AG;2651465;1268483
Mettembert;2806;0;Mettembert;JU;2591080;1249547
Mettendorf TG;8553;3;Hüttlingen;TG;2714805;1270866
Mettlen;9517;0;Bussnang;TG;2726529;1265917
Mettmenstetten;8932;0;Mettmenstetten;ZH;2677977;1233033
Metzerlen;4116;0;Metzerlen-Mariastein;SO;2602058;1257213
Mex VD;1031;0;Mex (VD);VD;2532057;1158854
Mex VS;1890;1;Saint-Maurice;VS;2566097;1114930
Meyriez;3280;2;Meyriez;FR;2574901;1197149
Meyrin;1217;0;Meyrin;GE;2494464;1120569
Mezzovico;6805;0;Mezzovico-Vira;TI;2714182;1105324
Mezzovico;6805;0;Monteceneri;TI;2710961;1104880
Middes;1749;0;Torny;FR;2562626;1179772
Mies;1295;1;Mies;VD;2502337;1129012
Miex;1896;2;Vouvry;VS;2555729;1132058
Miglieglia;6986;2;Miglieglia;TI;2709851;1098088
Milken;3157;0;Schwarzenburg;BE;2594132;1182455
Minusio;6648;0;Minusio;TI;2706536;1115049
Miralago;7743;2;Poschiavo;GR;2805172;1128109
Mirchel;3532;2;Mirchel;BE;2615895;1193854
Misery;1721;1;Misery-Courtion;FR;2571822;1188980
Mission;3961;27;Anniviers;VS;2612044;1115688
Missy;1565;0;Missy;VD;2564308;1192246
Misériez (Salins);1991;5;Sion;VS;2592793;1117339
Mitlödi;8756;0;Glarus Süd;GL;2724560;1208125
Mittelhäusern;3147;0;Köniz;BE;2594337;1191653
Mittellunden;7222;0;Schiers;GR;2773103;1202396
Miège;3972;0;Miège;VS;2608363;1128975
Miécourt;2946;0;La Baroche;JU;2580216;1252840
Mogelsberg;9122;0;Neckertal;SG;2728392;1247021
Moghegno;6677;2;Maggia;TI;2697712;1121748
Moiry VD;1148;8;Moiry;VD;2524596;1166840
Molare;6760;1;Faido;TI;2706856;1149260
Moleno;6524;0;Moleno;TI;2719858;1125317
Molinazzo di Monteggio;6995;0;Monteggio;TI;2707043;1094260
Molinis;7056;0;Arosa;GR;2769277;1188503
Mollens VD;1146;0;Mollens (VD);VD;2517562;1159081
Mollens VS;3974;0;Mollens (VS);VS;2606328;1129449
Mollie-Margot;1073;2;Savigny;VD;2547221;1156402
Mollis;8753;0;Glarus Nord;GL;2724814;1217295
Molondin;1415;0;Molondin;VD;2547280;1178960
Mols;8885;0;Quarten;SG;2739930;1219539
Moléson-sur-Gruyères;1663;4;Gruyères;FR;2569229;1156825
Mon;7458;0;Mon;GR;2762514;1168780
Moneto;6659;9;Centovalli;TI;2691329;1111688
Monible;2715;2;Monible;BE;2581963;1236187
Monnaz;1125;0;Echichens;VD;2526370;1153472
Mont-Crosin;2610;4;Cormoret;BE;2569352;1225922
Mont-Soleil;2610;2;Saint-Imier;BE;2565735;1223291
Mont-Tramelan;2723;0;Mont-Tramelan;BE;2570980;1228588
Mont-de-Buttes;2116;0;Val-de-Travers;NE;2529516;1192561
Mont-la-Ville;1148;5;Mont-la-Ville;VD;2521165;1166592
Mont-sur-Rolle;1185;0;Mont-sur-Rolle;VD;2515386;1147219
Montagne-de-Courtelary;2608;2;Cortébert;BE;2575512;1224434
Montagne-de-Sonvilier;2615;2;Sonvilier;BE;2562680;1218999
Montagnola;6926;0;Collina d'Oro;TI;2714637;1093426
Montagnon (Leytron);1912;3;Leytron;VS;2581027;1115459
Montagny-la-Ville;1776;0;Montagny (FR);FR;2566177;1185245
Montagny-les-Monts;1774;2;Montagny (FR);FR;2565910;1184467
Montagny-près-Yverdon;1442;0;Montagny-près-Yverdon;VD;2536909;1182759
Montalchez;2027;2;Montalchez;NE;2547156;1194271
Montana;3963;3;Montana;VS;2604000;1127191
Montaubion-Chardonney;1041;22;Jorat-Menthue;VD;2544549;1166460
Montavon;2857;0;Boécourt;JU;2584503;1246893
Montbovon;1669;5;Haut-Intyamon;FR;2569829;1148400
Montbrelloz;1475;3;Vernay;FR;2557840;1189310
Montcherand;1354;0;Montcherand;VD;2529068;1176138
Monte;6875;0;Castel San Pietro;TI;2723387;1082358
Monte Carasso;6513;0;Monte Carasso;TI;2720494;1116494
Monteiller (Savièse);1965;9;Savièse;VS;2593544;1122847
Montenol;2884;0;Clos du Doubs;JU;2578339;1244708
Montet (Broye);1483;0;Les Montets;FR;2556504;1185144
Montet (Glâne);1674;2;Montet (Glâne);FR;2552175;1166118
Montezillon;2037;2;Rochefort;NE;2554242;1204127
Montfaucon;2362;0;Montfaucon;JU;2570679;1236935
Montfavergier;2362;2;Montfaucon;JU;2573621;1239914
Montherod;1174;0;Montherod;VD;2517642;1150283
Monthey;1870;0;Monthey;VS;2551884;1117479
Monthey;1870;0;Monthey;VS;2562086;1122482
Montignez;2924;0;Basse-Allaine;JU;2571411;1259655
Montlingen;9462;0;Oberriet (SG);SG;2756403;1242047
Montlingen;9462;0;Oberriet (SG);SG;2762622;1244897
Montmagny;1587;0;Vully-les-Lacs;VD;2567308;1197387
Montmelon;2883;0;Clos du Doubs;JU;2580418;1244702
Montmollin;2037;0;Val-de-Ruz;NE;2554989;1204837
Montpreveyres;1081;0;Montpreveyres;VD;2547080;1159452
Montreux;1820;0;Montreux;VD;2559571;1142281
Montricher;1147;0;Montricher;VD;2518651;1161650
Montsevelier;2828;0;Val Terbi;JU;2605419;1245366
Montévraz;1724;4;Le Mouret;FR;2579915;1175044
Moosleerau;5054;2;Moosleerau;AG;2647026;1235246
Moosseedorf;3302;0;Moosseedorf;BE;2603002;1207175
Morbio Inferiore;6834;0;Morbio Inferiore;TI;2722775;1078947
Morbio Superiore;6835;0;Breggia;TI;2722966;1080213
Morcles;1892;2;Lavey-Morcles;VD;2568967;1117584
Morcote;6922;0;Morcote;TI;2714469;1086838
Morens FR;1541;2;Morens (FR);FR;2559486;1188283
Morgarten;6315;3;Oberägeri;ZG;2690827;1217341
Morges;1110;0;Morges;VD;2527960;1151479
Morgins;1875;0;Troistorrents;VS;2555170;1120809
Morissen;7143;0;Lumnezia;GR;2732950;1176941
Morlens;1674;3;Ursy;FR;2553921;1167044
Morlon;1638;0;Morlon;FR;2573128;1164135
Morrens VD;1054;0;Morrens (VD);VD;2537772;1160314
Morschach;6443;0;Morschach;SZ;2689647;1203890
Mosen;6295;0;Hitzkirch;LU;2659747;1232734
Mosnang;9607;0;Mosnang;SG;2720909;1246733
Mosogno;6611;13;Mosogno;TI;2692661;1117083
Mossel;1675;3;Ursy;FR;2555029;1162098
Motto (Blenio);6721;2;Acquarossa;TI;2717801;1143078
Moudon;1510;0;Moudon;VD;2551060;1168747
Moutier;2740;0;Moutier;BE;2594845;1236514
Movelier;2812;0;Movelier;JU;2591000;1251133
Mugena;6939;1;Alto Malcantone;TI;2712318;1100738
Muggio;6838;0;Breggia;TI;2724507;1084734
Muhen;5037;0;Muhen;AG;2646310;1242865
Mulegns;7455;0;Mulegns;GR;2767260;1154901
Mumpf;4322;0;Mumpf;AG;2635748;1266149
Mumpé Medel;7183;0;Disentis/Mustér;GR;2707751;1171639
Mund;3903;0;Naters;VS;2638545;1129561
Muntelier;3286;0;Muntelier;FR;2576042;1198307
Muolen;9313;0;Muolen;SG;2741806;1264954
Muotathal;6436;0;Muotathal;SZ;2700531;1203787
Mur (Vully) FR;1787;1;Haut-Vully;FR;2571429;1199341
Mur (Vully) VD;1787;2;Vully-les-Lacs;VD;2571170;1199389
Muralto;6600;2;Muralto;TI;2705329;1114588
Muraz (Collombey);1893;0;Collombey-Muraz;VS;2560468;1125550
Muraz (Sierre);3960;5;Sierre;VS;2606948;1127354
Murg;8877;0;Quarten;SG;2734729;1219302
Murgenthal;4853;0;Murgenthal;AG;2630241;1235339
Murgenthal;4853;0;Murgenthal;AG;2629535;1233436
Muri AG;5630;0;Muri (AG);AG;2667666;1236763
Muri b. Bern;3074;0;Muri bei Bern;BE;2603796;1197476
Muriaux;2338;2;Muriaux;JU;2565149;1232899
Murist;1489;0;Murist;FR;2551797;1182336
Murten;3280;0;Murten;FR;2575665;1197530
Murzelen;3034;0;Wohlen bei Bern;BE;2590585;1203258
Mutrux;1428;2;Mutrux;VD;2545795;1192690
Mutten;7431;1;Mutten;GR;2757518;1171841
Muttenz;4132;0;Muttenz;BL;2616256;1263384
Muzzano;6933;0;Muzzano;TI;2714673;1095186
Mädris-Vermol;8886;0;Mels;SG;2748394;1212837
Mägenwil;5506;0;Mägenwil;AG;2660005;1251294
Männedorf;8708;0;Männedorf;ZH;2695243;1234898
Märstetten;8560;0;Märstetten;TG;2722171;1272506
Märwil;9562;0;Affeltrangen;TG;2722823;1265685
Ménières;1533;0;Ménières;FR;2557451;1181593
Mézery-près-Donneloye;1407;3;Donneloye;VD;2545655;1177789
Mézières FR;1684;0;Mézières (FR);FR;2560803;1169895
Mézières VD;1083;0;Mézières (VD);VD;2548855;1160659
Môtier (Vully);1787;0;Haut-Vully;FR;2572924;1199770
Môtiers NE;2112;0;Val-de-Travers;NE;2536992;1195977
Möhlin;4313;0;Möhlin;AG;2630463;1267968
Mönchaltorf;8617;0;Mönchaltorf;ZH;2696508;1241047
Mönthal;5237;0;Mönthal;AG;2652857;1263154
Mörel;3983;0;Mörel-Filet;VS;2646649;1134235
Mörigen;2572;2;Mörigen;BE;2582786;1214837
Möriken AG;5103;2;Möriken-Wildegg;AG;2656775;1252012
Mörschwil;9402;0;Mörschwil;SG;2749701;1259383
Mötschwil;3324;2;Mötschwil;BE;2609520;1210892
Mühlau;5642;0;Mühlau;AG;2671772;1231618
Mühlebach (Goms);3995;3;Ernen;VS;2655539;1140005
Mühlebach (Goms);3995;3;Ernen;VS;2661522;1139832
Mühleberg;3203;0;Mühleberg;BE;2586647;1200590
Mühledorf BE;3116;2;Mühledorf (BE);BE;2606966;1186318
Mühledorf SO;4583;0;Buchegg;SO;2603012;1220325
Mühlehorn;8874;0;Glarus Nord;GL;2731808;1219651
Mühlethal;4812;0;Zofingen;AG;2640585;1238949
Mühlethurnen;3127;0;Mühlethurnen;BE;2605562;1185014
Mühlrüti;9613;0;Mosnang;SG;2716575;1247816
Mülchi;3317;1;Fraubrunnen;BE;2602657;1216754
Mülenen;3711;2;Aeschi bei Spiez;BE;2619134;1165375
Müllheim Dorf;8555;0;Müllheim;TG;2717824;1273457
Müllheim-Wigoltingen;8554;0;Wigoltingen;TG;2718488;1272226
Mülligen;5243;0;Mülligen;AG;2660371;1256415
Mümliswil;4717;0;Mümliswil-Ramiswil;SO;2619384;1243400
Münchenbuchsee;3053;0;Münchenbuchsee;BE;2600561;1207851
Münchenstein;4142;0;Münchenstein;BL;2613779;1262565
Münchenwiler;1797;0;Münchenwiler;BE;2576209;1195673
Münchringen;3303;2;Jegenstorf;BE;2606349;1210577
Münchwilen AG;4333;0;Münchwilen (AG);AG;2639566;1265132
Münchwilen TG;9542;0;Münchwilen (TG);TG;2716988;1259941
Münsingen;3110;0;Münsingen;BE;2608899;1191709
Münster VS;3985;0;Münster-Geschinen;VS;2663550;1149009
Münsterlingen;8596;1;Münsterlingen;TG;2735006;1277186
Müntschemier;3225;0;Müntschemier;BE;2577565;1205042
Mürren;3825;0;Lauterbrunnen;BE;2634957;1156687
Müselbach;9602;2;Kirchberg (SG);SG;2721246;1250256
Müstair;7537;0;Val Müstair;GR;2830225;1167796
Müswangen;6289;0;Hitzkirch;LU;2664778;1232271
Nassen;9123;0;Neckertal;SG;2728450;1248445
Nassenwil;8155;1;Niederhasli;ZH;2677682;1257839
Naters;3904;0;Naters;VS;2641981;1130738
Nax;1973;0;Mont-Noble;VS;2599655;1119763
Naz;1041;26;Montilliez;VD;2543112;1167717
Nebikon;6244;0;Nebikon;LU;2641368;1226946
Necker;9126;0;Oberhelfenschwil;SG;2727682;1245401
Neerach;8173;0;Neerach;ZH;2677799;1262467
Neftenbach;8413;0;Neftenbach;ZH;2693122;1264809
Neggio;6991;0;Neggio;TI;2711641;1093891
Neirivue;1669;4;Haut-Intyamon;FR;2570795;1152733
Nendeln;9485;0;;;2759518;1229630
Nennigkofen;4574;0;Lüsslingen-Nennigkofen;SO;2603872;1226241
Nenzlingen;4224;0;Nenzlingen;BL;2608928;1255185
Neschwil;8484;2;Weisslingen;ZH;2702149;1254060
Nesselnbach;5524;2;Niederwil (AG);AG;2664710;1249190
Nesslau;9650;0;Nesslau;SG;2733516;1231831
Netstal;8754;0;Glarus;GL;2722466;1213770
Neu St. Johann;9652;0;Nesslau;SG;2732789;1232841
Neuchâtel;2000;0;Neuchâtel;NE;2561032;1204681
Neudorf;6025;0;Beromünster;LU;2658612;1225408
Neuendorf;4623;0;Neuendorf;SO;2627077;1239023
Neuenegg;3176;0;Neuenegg;BE;2588879;1193943
Neuenhof;5432;0;Neuenhof;AG;2666753;1255367
Neuenkirch;6206;0;Neuenkirch;LU;2658070;1216832
Neuhaus SG;8732;0;Eschenbach (SG);SG;2713910;1233690
Neuhausen am Rheinfall;8212;0;Neuhausen am Rheinfall;SH;2688514;1281909
Neuheim;6345;0;Neuheim;ZG;2686520;1228514
Neukirch (Egnach);9315;0;Egnach;TG;2745478;1265835
Neukirch an der Thur;9217;0;Kradolf-Schönenberg;TG;2730277;1263780
Neunkirch;8213;0;Neunkirch;SH;2679584;1282755
Neuwilen;8566;0;Kemmental;TG;2727349;1275705
Neyruz FR;1740;0;Neyruz (FR);FR;2571475;1179703
Neyruz-sur-Moudon;1515;1;Montanaire;VD;2550174;1172053
Nidau;2560;0;Nidau;BE;2584970;1219358
Nidfurn;8772;0;Glarus Süd;GL;2722679;1205243
Niederbipp;4704;0;Niederbipp;BE;2619917;1235309
Niederbuchsiten;4626;0;Niederbuchsiten;SO;2625244;1238267
Niederbüren;9246;0;Niederbüren;SG;2732891;1258510
Niederdorf;4435;0;Niederdorf;BL;2623469;1251006
Niedergampel;3945;1;Gampel-Bratsch;VS;2620953;1129015
Niedergesteln;3942;2;Niedergesteln;VS;2626398;1128858
Niederglatt SG;9240;2;Oberuzwil;SG;2730500;1254676
